hour_id,visitors,sales,conversion_rate
1,145,1,0.0069
2,159,3,0.0189
3,136,2,0.0147
4,154,3,0.0195
5,163,1,0.0061
6,137,5,0.0365
7,143,6,0.042
8,148,6,0.0405
9,154,4,0.026
10,142,1,0.007
11,148,4,0.027
12,138,0,0.0
13,153,0,0.0
14,154,2,0.013
15,143,3,0.021
16,157,4,0.0255
17,133,3,0.0226
18,141,2,0.0142
19,143,2,0.014
20,152,9,0.0592
21,153,3,0.0196
22,130,2,0.0154
23,121,1,0.0083
24,146,4,0.0274
25,163,4,0.0245
26,142,1,0.007
27,135,1,0.0074
28,160,4,0.025
29,158,4,0.0253
30,160,2,0.0125
31,145,6,0.0414
32,165,1,0.0061
33,144,2,0.0139
34,143,6,0.042
35,159,3,0.0189
36,167,4,0.024
37,133,2,0.015
38,160,2,0.0125
39,160,7,0.0438
40,151,2,0.0132
41,143,5,0.035
42,169,2,0.0118
43,147,2,0.0136
44,140,0,0.0
45,142,3,0.0211
46,173,3,0.0173
47,155,5,0.0323
48,162,3,0.0185
49,168,7,0.0417
50,143,1,0.007
51,139,5,0.036
52,147,4,0.0272
53,133,4,0.0301
54,175,5,0.0286
55,151,4,0.0265
56,145,3,0.0207
57,183,2,0.0109
58,150,0,0.0
59,142,5,0.0352
60,154,3,0.0195
61,123,4,0.0325
62,169,3,0.0178
63,135,1,0.0074
64,156,1,0.0064
65,140,3,0.0214
66,145,2,0.0138
67,155,2,0.0129
68,130,2,0.0154
69,143,1,0.007
70,156,3,0.0192
71,150,2,0.0133
72,155,4,0.0258
73,157,2,0.0127
74,174,3,0.0172
75,144,0,0.0
76,172,1,0.0058
77,141,2,0.0142
78,163,3,0.0184
79,151,3,0.0199
80,131,2,0.0153
81,169,4,0.0237
82,144,5,0.0347
83,158,4,0.0253
84,167,1,0.006
85,155,3,0.0194
86,154,1,0.0065
87,131,1,0.0076
88,152,7,0.0461
89,155,1,0.0065
90,158,3,0.019
91,144,3,0.0208
92,155,4,0.0258
93,156,3,0.0192
94,131,0,0.0
95,141,2,0.0142
96,168,3,0.0179
